OID,Value,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,1,5450,4905000.0,159,1119,960,330.031926606,136.359739037,1798674.0,578,199,159,289
1,3,77131,69417900.0,159,1312,1153,347.319975107,120.209736146,26789137.0,848,276,812,325
2,4,6828,6145200.0,210,1369,1159,548.395284124,148.885597778,3744443.0,749,448,210,526
3,5,2286,2057400.0,161,765,604,274.181539808,94.5054763812,626779.0,341,216,161,250
4,6,669,602100.0,159,656,497,265.835575486,91.9278321718,177844.0,237,190,159,218
5,7,15,13500.0,230,419,189,312.533333333,37.7445213096,4688.0,13,308,230,310
6,11,9353,8417700.0,216,1101,885,555.579386293,95.0957747936,5196334.0,575,515,216,542
7,12,10757,9681300.0,174,869,695,439.433113322,80.5791525501,4726982.0,502,409,174,436
8,13,19225,17302500.0,177,699,522,306.604577373,62.9380838012,5894473.0,377,281,177,292
9,14,10840,9756000.0,159,947,788,229.923431734,47.9138664923,2492370.0,324,222,337,220
10,15,2636,2372400.0,160,630,470,234.536798179,53.4910449817,618239.0,240,189,160,217
