OID,SUBORDER,VALUE_1,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7,VALUE_11,VALUE_12,VALUE_13,VALUE_14,VALUE_15
0,Water,3651300.0,36882000.0,10160100.0,31655700.0,9421200.0,162900.0,34200.0,63000.0,85500.0,3398400.0,3157200.0
1,Cryands,10315800.0,266237100.0,50305500.0,391500.0,2063700.0,0.0,163800.0,9000.0,18900.0,150300.0,1993500.0
2,Xerands,12876300.0,314768700.0,56245500.0,241200.0,3551400.0,0.0,8792100.0,4500.0,2700.0,30600.0,27000.0
3,Vitrands,65430900.0,1095795000.0,87248700.0,49565700.0,5398200.0,30600.0,2021400.0,107203500.0,183056400.0,2769300.0,18671400.0
4,Argids,1170000.0,2020500.0,3770100.0,0.0,0.0,0.0,23003100.0,0.0,0.0,88200.0,0.0
5,Cambids,590994900.0,4156716600.0,18647100.0,202026600.0,172684800.0,667800.0,7707600.0,55719000.0,371133000.0,2844765900.0,856179900.0
6,Xerolls,371195100.0,4247204400.0,1170355500.0,36812700.0,16210800.0,19800.0,3030491700.0,962883900.0,443429100.0,210544200.0,25588800.0
7,Cryolls,38547000.0,1746219600.0,481183200.0,13172400.0,4916700.0,3600.0,170211600.0,60543900.0,7178400.0,14661000.0,4576500.0
8,Ustolls,1768302900.0,34632264600.0,1509363900.0,883872900.0,133445700.0,9350100.0,1496583900.0,5590664100.0,10480468500.0,2807225100.0,475896600.0
9,Cryalfs,903600.0,9019800.0,12121200.0,31500.0,0.0,0.0,13674600.0,0.0,0.0,6300.0,0.0
10,Xeralfs,85055400.0,503853300.0,587367900.0,23959800.0,25200.0,277200.0,990745200.0,536400.0,0.0,607500.0,0.0
11,Xerepts,3553200.0,269571600.0,26108100.0,465300.0,900.0,181800.0,533700.0,25437600.0,390600.0,372600.0,471600.0
12,Orthents,360217800.0,2148296400.0,6039900.0,185057100.0,33611400.0,47700.0,9626400.0,48566700.0,204078600.0,969118200.0,94078800.0
