OID,Value,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,1,5450,4905000.0,6,13,7,10.1135779817,1.43051252953,55119.0,8,11,6,10
1,3,77131,69417900.0,5,13,8,9.57552734957,1.38418607156,738570.0,9,9,5,9
2,4,6828,6145200.0,4,13,9,8.34270650264,1.1324206401,56964.0,10,8,4,8
3,5,2286,2057400.0,6,13,7,11.1395450569,1.09769605352,25465.0,8,12,6,11
4,6,669,602100.0,7,13,6,10.4618834081,1.23856686247,6999.0,7,11,13,11
5,7,15,13500.0,9,11,2,10.0,0.516397779494,150.0,3,10,9,10
6,11,9353,8417700.0,6,12,6,8.4792045333,0.971760205013,79306.0,7,8,12,8
7,12,10757,9681300.0,6,13,7,9.25852932974,1.2074891775,99594.0,8,9,13,9
8,13,19225,17302500.0,7,13,6,9.93081924577,1.14929705653,190920.0,7,11,13,10
9,14,10840,9756000.0,6,12,6,10.7550738007,1.03547415654,116585.0,7,10,7,11
10,15,2636,2372400.0,8,13,5,10.8023520486,0.886594098837,28475.0,6,11,13,11
