OID,VALUE,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6
0,1,443530800.0,399039300.0,98309700.0,532266300.0,599869800.0,1164054600.0
1,3,9596447100.0,1596039300.0,790538400.0,14590035900.0,9838808100.0,11843661600.0
2,4,2517295500.0,682439400.0,34506000.0,552385800.0,25937100.0,117484200.0
3,5,135948600.0,25654500.0,35154900.0,288567900.0,352954800.0,686950200.0
4,6,57105000.0,21574800.0,10871100.0,160609500.0,99061200.0,254721600.0
5,7,1267200.0,962100.0,180900.0,6119100.0,6557400.0,6039000.0
6,11,1069357500.0,4139105400.0,796810500.0,419470200.0,6316200.0,34119900.0
7,12,910725300.0,1503807300.0,1622092500.0,1032939000.0,2540781000.0,354931200.0
8,13,168440400.0,89132400.0,296533800.0,2397309300.0,8216479800.0,1825253100.0
9,14,108284400.0,130678200.0,16381800.0,265392900.0,1797805800.0,4580006400.0
10,15,79547400.0,22053600.0,2157300.0,152857800.0,267693300.0,1370876400.0
