OID,VALUE,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6
0,1,510951600.0,544941000.0,180549000.0,544514400.0,936168300.0,1459376100.0
1,3,10304635500.0,2447719200.0,1227731400.0,15538418100.0,11813797800.0,12985425900.0
2,4,2830437900.0,876180600.0,48849300.0,922478400.0,72166500.0,206185500.0
3,5,125478900.0,23690700.0,35308800.0,281802600.0,350841600.0,683176500.0
4,6,79631100.0,23157000.0,16262100.0,124975800.0,151156800.0,500417100.0
5,7,1891800.0,108900.0,7200.0,11376900.0,1175400.0,3110400.0
6,11,704284200.0,3548466900.0,731973600.0,321900300.0,50654700.0,171678600.0
7,12,274669200.0,992110500.0,1368585000.0,806490000.0,2792925000.0,204030900.0
8,13,142040700.0,17326800.0,80555400.0,1611162900.0,5755228200.0,1341627300.0
9,14,99474300.0,134424000.0,13662000.0,227003400.0,1817811900.0,4579184700.0
10,15,684000.0,91800.0,53100.0,4314600.0,10325700.0,103543200.0
