OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1234449000.0,721741500.0,994228200.0,84748500.0
1,3,32408186400.0,11419035300.0,7477745400.0,947000700.0
2,4,858250800.0,2916090900.0,19022400.0,906409800.0
3,5,586722600.0,130859100.0,745407000.0,42596100.0
4,6,132418800.0,53079300.0,272064600.0,1395900.0
5,7,8773200.0,553500.0,715500.0,396900.0
6,11,214480800.0,4238051400.0,77751900.0,709962300.0
7,12,2229779700.0,4495419000.0,345546000.0,10007100.0
8,13,10533476700.0,335018700.0,696820500.0,0.0
9,14,1874673000.0,175166100.0,4848107400.0,603000.0
10,15,411347700.0,1014300.0,631177200.0,0.0
