OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1235765700.0,721924200.0,992762100.0,84771000.0
1,3,32465204100.0,11419834500.0,7497316800.0,947332800.0
2,4,858640500.0,2916045000.0,19199700.0,906409800.0
3,5,586369800.0,130671000.0,743277600.0,42594300.0
4,6,133017300.0,53044200.0,275349600.0,1395900.0
5,7,8775900.0,553500.0,713700.0,396000.0
6,11,225603000.0,4235196600.0,80103600.0,709483500.0
7,12,2240406000.0,4490888400.0,340627500.0,9994500.0
8,13,10523498400.0,335105100.0,687231900.0,0.0
9,14,1813910400.0,181757700.0,4875149700.0,742500.0
10,15,401378400.0,1009800.0,596853900.0,0.0
