OID,VALUE,A_10A__CHA,A_10B__LOE,A_10C__UMA,A_10D__OKA,A_10E__PLE,A_10F__DIS,A_10G__YAK,A_10H__PAL,A_10I__DEE,A_10J__NEZ,A_10K__DES,A_10L__LOW,A_10M__OKA,A_10N__UMA,A_11A__JOH,A_11F__CAN,A_11G__CAN,A_11I__CON,A_11K__BLU,A_11N__DES,A_15F__GRA,A_15J__LOW
0,1,441144000.0,264875400.0,223520400.0,54834300.0,1110396600.0,120940200.0,264951000.0,206811000.0,44199900.0,59827500.0,19278900.0,39205800.0,145268100.0,21951900.0,2259000.0,2059200.0,37269900.0,7803000.0,73434600.0,11927700.0,42299100.0,39984300.0
1,3,8054363700.0,3116211300.0,5292486900.0,1355613300.0,6808184100.0,1355098500.0,8207072100.0,393312600.0,157682700.0,309950100.0,1659023100.0,927958500.0,2579725800.0,1491104700.0,127753200.0,115092900.0,3425784300.0,359788500.0,1171037700.0,444339900.0,204710400.0,637224300.0
2,4,450900900.0,18059400.0,21022200.0,7869600.0,14149800.0,76763700.0,175333500.0,162090900.0,71622900.0,167769900.0,16554600.0,50278500.0,163440900.0,104904900.0,6616800.0,198162000.0,1199410200.0,28631700.0,133593300.0,12273300.0,178802100.0,625893300.0
3,5,414597600.0,2716200.0,6229800.0,24795000.0,745965000.0,37837800.0,8019900.0,685800.0,186300.0,294300.0,17041500.0,50120100.0,106313400.0,145800.0,423000.0,1438200.0,42892200.0,277200.0,2043000.0,17805600.0,578700.0,44174700.0
4,6,177979500.0,19197000.0,11774700.0,3701700.0,287101800.0,6182100.0,25891200.0,10691100.0,6962400.0,891000.0,1057500.0,2130300.0,29899800.0,4370400.0,80100.0,144900.0,3537900.0,1592100.0,3270600.0,3114000.0,1287000.0,2669400.0
5,7,6446700.0,631800.0,426600.0,234900.0,1898100.0,111600.0,4756500.0,659700.0,19800.0,27900.0,4045500.0,83700.0,234000.0,24300.0,108000.0,9000.0,229500.0,6300.0,158400.0,196200.0,190800.0,621000.0
6,11,73282500.0,10602900.0,8107200.0,0.0,65498400.0,172335600.0,105203700.0,3435646500.0,562050900.0,515087100.0,97200.0,24394500.0,33068700.0,11328300.0,3600.0,6408000.0,25596900.0,29205000.0,535550400.0,7200.0,701249400.0,147565800.0
7,12,513526500.0,2210155200.0,462774600.0,2851200.0,589084200.0,929649600.0,429696000.0,1272103200.0,488484900.0,714351600.0,3969000.0,51849900.0,24013800.0,52696800.0,84600.0,266400.0,63603000.0,0.0,115182900.0,1401300.0,26663400.0,11357100.0
8,13,660708900.0,5883957000.0,3470009400.0,706064400.0,928218600.0,270139500.0,989910000.0,5225400.0,7749000.0,0.0,19948500.0,13298400.0,28398600.0,6799500.0,226800.0,900.0,499500.0,0.0,0.0,1618200.0,0.0,0.0
9,14,198668700.0,984762000.0,104464800.0,15241500.0,4953189600.0,1865700.0,446369400.0,2283300.0,11402100.0,1697400.0,4326300.0,457200.0,30066300.0,957600.0,22500.0,38700.0,981900.0,267300.0,133191900.0,7576200.0,194400.0,406800.0
10,15,143987400.0,23718600.0,13741200.0,20466900.0,1065175200.0,341100.0,460287900.0,342900.0,5819400.0,1800.0,280800.0,63900.0,158806800.0,223200.0,900.0,30600.0,691200.0,6300.0,153900.0,25200.0,0.0,0.0
