OID,VALUE,A_10A__CHA,A_10B__LOE,A_10C__UMA,A_10D__OKA,A_10E__PLE,A_10F__DIS,A_10G__YAK,A_10H__PAL,A_10I__DEE,A_10J__NEZ,A_10K__DES,A_10L__LOW,A_10M__OKA,A_10N__UMA,A_11A__JOH,A_11F__CAN,A_11G__CAN,A_11I__CON,A_11K__BLU,A_11N__DES,A_15F__GRA,A_15J__LOW
0,1,390363300.0,330620400.0,137919600.0,53072100.0,1058625000.0,121888800.0,207414900.0,226758600.0,44694900.0,56525400.0,8013600.0,40328100.0,145421100.0,12591000.0,1449000.0,2008800.0,32559300.0,7133400.0,62341200.0,9126900.0,39112200.0,45185400.0
1,3,8150808600.0,4020138000.0,5657514300.0,1425571200.0,7551523800.0,1630886400.0,8742542400.0,859042800.0,275890500.0,425146500.0,1669863600.0,942566400.0,2695081500.0,1566665100.0,120058200.0,119856600.0,3394492200.0,359083800.0,1303508700.0,419697900.0,323340300.0,615312000.0
2,4,790569000.0,30912300.0,19030500.0,10680300.0,23063400.0,90918900.0,243594000.0,217336500.0,79247700.0,178858800.0,20450700.0,57078900.0,234190800.0,61369200.0,14970600.0,196967700.0,1276071300.0,42076800.0,130974300.0,40953600.0,207553500.0,683955900.0
3,5,411399900.0,2410200.0,4802400.0,22344300.0,746908200.0,38480400.0,7011000.0,208800.0,63000.0,143100.0,15590700.0,48299400.0,100897200.0,31500.0,459000.0,442800.0,38446200.0,254700.0,3528900.0,17964000.0,340200.0,42232500.0
4,6,80082000.0,15408000.0,8127000.0,1191600.0,282908700.0,1800900.0,27167400.0,3841200.0,2711700.0,186300.0,823500.0,603900.0,24274800.0,2191500.0,4500.0,17100.0,4817700.0,1155600.0,2832300.0,873000.0,720900.0,647100.0
5,7,2157300.0,18000.0,211500.0,28800.0,237600.0,25200.0,960300.0,29700.0,2700.0,99900.0,4854600.0,34200.0,696600.0,14400.0,45000.0,0.0,154800.0,2700.0,39600.0,418500.0,1800.0,394200.0
6,11,35743500.0,8788500.0,22655700.0,0.0,114997500.0,146034000.0,100622700.0,2892996900.0,423874800.0,524448000.0,121500.0,19315800.0,1703700.0,8505000.0,0.0,564300.0,10646100.0,16707600.0,223981200.0,46800.0,582218100.0,114731100.0
7,12,370791000.0,1866990600.0,595689300.0,106011000.0,370862100.0,743791500.0,291858300.0,1236915900.0,476656200.0,582877800.0,1140300.0,28902600.0,15658200.0,39870900.0,92700.0,3717900.0,40496400.0,129600.0,297790200.0,1665900.0,2070900.0,7321500.0
8,13,581929200.0,5286969900.0,3030253200.0,558328500.0,907800300.0,195109200.0,807854400.0,50225400.0,43747200.0,0.0,21081600.0,22413600.0,32487300.0,2288700.0,489600.0,9000.0,1547100.0,0.0,0.0,2582100.0,0.0,0.0
9,14,182320200.0,964629000.0,128328300.0,12634200.0,4941460800.0,2294100.0,443476800.0,2475000.0,8919900.0,1612800.0,3594600.0,297000.0,26438400.0,967500.0,5400.0,66600.0,678600.0,1033200.0,142595100.0,6930000.0,617400.0,125100.0
10,15,139442400.0,8001900.0,10026000.0,1810800.0,570470400.0,36000.0,244989000.0,21600.0,371700.0,0.0,88200.0,900.0,22386600.0,12600.0,4500.0,0.0,587700.0,0.0,25200.0,35100.0,0.0,0.0
