OID,VALUE,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_14,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_31,VALUE_32,VALUE_33,VALUE_34,VALUE_35,VALUE_36,VALUE_37,VALUE_38,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_46,VALUE_48,VALUE_49,VALUE_52,VALUE_53,VALUE_55,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_71,VALUE_76,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_207,VALUE_208,VALUE_209,VALUE_216,VALUE_218,VALUE_219,VALUE_220,VALUE_223,VALUE_224,VALUE_226,VALUE_229,VALUE_237,VALUE_242,VALUE_243,VALUE_246,VALUE_249
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2366292600.0,831796200.0,298118700.0,34275600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42480198900.0,8994586500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23358600.0,4769677800.0,6109200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1489420800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199866600.0,312299100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23387400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11,0.0,0.0,0.0,328500.0,0.0,0.0,0.0,453862800.0,912499200.0,2593459800.0,3600.0,18307800.0,34596000.0,39600.0,73800.0,68400.0,5752800.0,450843300.0,45822600.0,16200.0,0.0,217751400.0,0.0,1233900.0,0.0,0.0,0.0,316109700.0,358076700.0,0.0,0.0,0.0,336600.0,243735300.0,142620300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3658500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12,0.0,0.0,0.0,1851300.0,0.0,0.0,0.0,431870400.0,1165687200.0,3130153200.0,5400.0,14146200.0,22500000.0,227700.0,133200.0,16200.0,15989400.0,490155300.0,43663500.0,546300.0,0.0,17977500.0,0.0,1790100.0,0.0,0.0,0.0,7471800.0,123534900.0,0.0,0.0,0.0,837000.0,45525600.0,2053706400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10150200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63995400.0,487062000.0,4819888800.0,7200.0,1107900.0,871200.0,10800.0,108000.0,23400.0,3091500.0,70252200.0,17108100.0,3917700.0,0.0,3644100.0,0.0,534600.0,0.0,0.0,0.0,64800.0,11216700.0,0.0,0.0,0.0,33300.0,9368100.0,5097760200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2951100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14,605474100.0,699300.0,1149300.0,1508400.0,269774100.0,830700.0,30517200.0,16375500.0,602910000.0,1087006500.0,0.0,3443400.0,10181700.0,594900.0,79200.0,532800.0,265500.0,1079325900.0,299102400.0,9002700.0,13275000.0,109961100.0,675259200.0,4730400.0,161100.0,5139000.0,118835100.0,35100.0,163094400.0,1109700.0,26468100.0,87107400.0,1009800.0,230228100.0,217267200.0,22842000.0,53100.0,105703200.0,190998000.0,0.0,59400.0,39600.0,4096800.0,6679800.0,83664900.0,33246900.0,2637000.0,355500.0,38700.0,793800.0,13107600.0,982800.0,387683100.0,350205300.0,11113200.0,22239000.0,8977500.0,18803700.0,15066900.0,1442700.0,231300.0,1790100.0,953100.0,532800.0,81000.0,333000.0,292500.0,189900.0,2168100.0,3600.0,236700.0,868500.0,977400.0,1338300.0
