OID,VALUE,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_14,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_31,VALUE_32,VALUE_33,VALUE_34,VALUE_35,VALUE_36,VALUE_37,VALUE_38,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_48,VALUE_49,VALUE_50,VALUE_52,VALUE_53,VALUE_55,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_71,VALUE_76,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_207,VALUE_208,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_223,VALUE_224,VALUE_225,VALUE_229,VALUE_236,VALUE_237,VALUE_242,VALUE_243,VALUE_246,VALUE_247
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2180270700.0,839840400.0,307692900.0,31180500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41936288400.0,8454341700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29348100.0,4762367100.0,6154200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477701900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185913900.0,330570000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26690400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11,0.0,0.0,0.0,713700.0,0.0,0.0,412283700.0,946533600.0,2277569700.0,0.0,923400.0,18234900.0,574200.0,900.0,116551800.0,78300.0,0.0,947700.0,5137200.0,285372000.0,491367600.0,900.0,11700.0,0.0,576411300.0,0.0,1255500.0,0.0,0.0,0.0,0.0,331143300.0,344082600.0,0.0,0.0,0.0,3084300.0,89737200.0,165877200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2313000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12,0.0,0.0,0.0,3418200.0,0.0,0.0,491089500.0,1100277000.0,2729299500.0,4500.0,286200.0,13725900.0,0.0,900.0,58640400.0,307800.0,1318500.0,6300.0,6334200.0,502615800.0,233421300.0,818100.0,1800.0,0.0,83984400.0,0.0,667800.0,0.0,0.0,0.0,0.0,15428700.0,133533900.0,0.0,0.0,0.0,98100.0,18972000.0,1907471700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12136500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13,0.0,0.0,0.0,2098800.0,0.0,0.0,94059900.0,249300900.0,5177214000.0,0.0,146700.0,1437300.0,0.0,8100.0,60112800.0,900.0,36900.0,1800.0,4548600.0,99218700.0,93434400.0,824400.0,900.0,0.0,4481100.0,0.0,323100.0,0.0,0.0,0.0,0.0,87300.0,11693700.0,0.0,0.0,0.0,1800.0,1365300.0,5731022700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11434500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14,932663700.0,1311300.0,89100.0,31122000.0,166643100.0,20246400.0,32009400.0,353094300.0,897902100.0,54000.0,123300.0,5515200.0,0.0,1045800.0,41510700.0,23400.0,48600.0,0.0,2310300.0,1188309600.0,374073300.0,8100.0,327600.0,12127500.0,142043400.0,731187000.0,8376300.0,3305700.0,3650400.0,169927200.0,512100.0,105300.0,145773900.0,375300.0,103950900.0,145762200.0,9900.0,136672200.0,222676200.0,1613700.0,1689300.0,140405400.0,107120700.0,24300.0,79514100.0,1800.0,2475000.0,5815800.0,49980600.0,20667600.0,1949400.0,206100.0,92700.0,414000.0,818100.0,180900.0,316639800.0,137107800.0,5288400.0,13668300.0,33428700.0,23754600.0,26663400.0,635400.0,1725300.0,191700.0,200700.0,9000.0,3534300.0,239400.0,435600.0,757800.0,1213200.0,242100.0,43200.0,14484600.0,501300.0,2940300.0,49500.0
