OID,VALUE,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_14,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_25,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_31,VALUE_32,VALUE_33,VALUE_34,VALUE_35,VALUE_36,VALUE_37,VALUE_38,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_48,VALUE_49,VALUE_50,VALUE_52,VALUE_53,VALUE_54,VALUE_55,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_71,VALUE_76,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_207,VALUE_208,VALUE_209,VALUE_216,VALUE_218,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_223,VALUE_224,VALUE_227,VALUE_229,VALUE_237,VALUE_242,VALUE_243,VALUE_246,VALUE_247,VALUE_249
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2153715300.0,850101300.0,343158300.0,43479900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43338930300.0,5564272500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22396500.0,4798041300.0,4897800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468017900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184949100.0,293509800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21785400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11,0.0,0.0,0.0,784800.0,0.0,0.0,0.0,278653500.0,0.0,1173196800.0,2312134200.0,0.0,5400.0,23424300.0,1800.0,0.0,75148200.0,1643400.0,0.0,258300.0,7641900.0,358176600.0,579868200.0,900.0,4433400.0,0.0,521468100.0,0.0,900.0,0.0,0.0,0.0,0.0,335972700.0,434001600.0,0.0,0.0,0.0,0.0,1860300.0,151037100.0,152158500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4051800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12,0.0,0.0,0.0,272700.0,0.0,0.0,0.0,210004200.0,0.0,1404035100.0,2642157000.0,900.0,58500.0,14960700.0,900.0,900.0,29214900.0,201600.0,73800.0,3600.0,6041700.0,537877800.0,272398500.0,8100.0,2950200.0,0.0,47923200.0,0.0,185400.0,0.0,0.0,0.0,0.0,15614100.0,206971200.0,0.0,0.0,0.0,0.0,169200.0,25444800.0,1979718300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10693800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13,0.0,0.0,0.0,756900.0,0.0,0.0,0.0,50901300.0,0.0,412551000.0,5347706400.0,2700.0,42300.0,2461500.0,0.0,60300.0,32985900.0,38700.0,402300.0,0.0,2880900.0,154879200.0,151630200.0,1291500.0,31500.0,0.0,2829600.0,0.0,172800.0,0.0,0.0,0.0,0.0,176400.0,21755700.0,0.0,0.0,0.0,0.0,4500.0,1685700.0,6289452000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11551500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14,755320500.0,2277000.0,3720600.0,4935600.0,185279400.0,222300.0,15895800.0,21864600.0,262800.0,351912600.0,825015600.0,67500.0,400500.0,10721700.0,0.0,229500.0,18248400.0,6300.0,42300.0,900.0,1674900.0,1345383000.0,439571700.0,12600.0,4182300.0,8519400.0,228808800.0,758675700.0,3362400.0,943200.0,8282700.0,167498100.0,147600.0,36000.0,193538700.0,325800.0,609300.0,147123000.0,142265700.0,478800.0,179508600.0,298055700.0,27986400.0,1582200.0,174180600.0,89482500.0,28800.0,78300.0,0.0,1504800.0,4002300.0,45434700.0,21970800.0,2943000.0,491400.0,56700.0,1330200.0,1195200.0,3079800.0,219666600.0,31914900.0,5411700.0,11979900.0,40090500.0,29385000.0,11175300.0,1158300.0,639000.0,1690200.0,900.0,643500.0,435600.0,34200.0,4608000.0,117000.0,1740600.0,4500.0,864900.0,521100.0,6183900.0,408600.0,917100.0,198900.0,1044900.0
