OID,VALUE,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_11,VALUE_12,VALUE_13,VALUE_14,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_31,VALUE_32,VALUE_33,VALUE_34,VALUE_35,VALUE_36,VALUE_37,VALUE_38,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_48,VALUE_49,VALUE_50,VALUE_51,VALUE_52,VALUE_53,VALUE_55,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_60,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_71,VALUE_76,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_207,VALUE_208,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_223,VALUE_224,VALUE_225,VALUE_229,VALUE_237,VALUE_242,VALUE_243,VALUE_246,VALUE_247,VALUE_249
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2044523700.0,858274200.0,412248600.0,45868500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42901794900.0,5395719600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17447400.0,4618512900.0,4348800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506529800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164513700.0,308470500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16569000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11,0.0,0.0,0.0,1374300.0,0.0,0.0,0.0,0.0,254472300.0,900.0,935609400.0,2198045700.0,650700.0,18822600.0,686700.0,10800.0,59559300.0,1135800.0,900.0,5044500.0,8888400.0,413470800.0,661407300.0,900.0,2041200.0,0.0,690898500.0,0.0,266400.0,0.0,0.0,0.0,0.0,125100.0,389301300.0,338823900.0,0.0,0.0,0.0,1884600.0,191140200.0,0.0,177948000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5326200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12,0.0,0.0,0.0,2012400.0,0.0,0.0,0.0,0.0,205388100.0,23400.0,1181749500.0,2830191300.0,244800.0,13929300.0,1156500.0,18000.0,34971300.0,1947600.0,17100.0,2741400.0,12057300.0,559429200.0,404699400.0,492300.0,2511000.0,0.0,98506800.0,0.0,183600.0,0.0,0.0,0.0,0.0,2700.0,26992800.0,201256200.0,0.0,0.0,0.0,2275200.0,41458500.0,0.0,2081988000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15270300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13,0.0,0.0,0.0,2148300.0,0.0,0.0,0.0,0.0,52887600.0,14400.0,484824600.0,5355174600.0,258300.0,3501000.0,0.0,393300.0,23989500.0,19800.0,5400.0,424800.0,2637000.0,170010900.0,266689800.0,191700.0,315900.0,0.0,3095100.0,0.0,40500.0,0.0,0.0,0.0,0.0,10800.0,63000.0,23431500.0,0.0,0.0,0.0,292500.0,5245200.0,0.0,6434737200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11709000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14,893841300.0,279900.0,3230100.0,13062600.0,228600.0,161541900.0,109800.0,342900.0,19620000.0,4221000.0,262108800.0,887547600.0,4184100.0,5085000.0,0.0,728100.0,26653500.0,159300.0,133200.0,1800.0,7215300.0,1367016300.0,322880400.0,1800.0,18284400.0,19152000.0,195542100.0,798409800.0,3444300.0,8241300.0,5086800.0,167011200.0,54000.0,493200.0,72900.0,159620400.0,510300.0,181665900.0,155445300.0,684900.0,181170900.0,1111500.0,310345200.0,25639200.0,530100.0,172984500.0,90760500.0,13500.0,20021400.0,900.0,1530000.0,3717900.0,27904500.0,16047900.0,2799900.0,476100.0,51300.0,272700.0,4228200.0,145800.0,148790700.0,25553700.0,5939100.0,11655000.0,46314900.0,38796300.0,4726800.0,453600.0,969300.0,308700.0,33300.0,900.0,2243700.0,109800.0,516600.0,6730200.0,1272600.0,917100.0,19870200.0,657900.0,1505700.0,158400.0,422100.0
