OID,VALUE,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_10,VALUE_12,VALUE_14,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_30,VALUE_31,VALUE_32,VALUE_34,VALUE_35,VALUE_36,VALUE_37,VALUE_38,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_45,VALUE_46,VALUE_47,VALUE_48,VALUE_49,VALUE_52,VALUE_53,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_60,VALUE_61,VALUE_66,VALUE_68,VALUE_69,VALUE_70,VALUE_71,VALUE_76,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_207,VALUE_208,VALUE_209,VALUE_210,VALUE_216,VALUE_218,VALUE_220,VALUE_223,VALUE_224,VALUE_229,VALUE_242,VALUE_243,VALUE_246,VALUE_249,VALUE_250
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038950900.0,858262500.0,306571500.0,33312600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34413408000.0,16326798300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17338500.0,4659290100.0,5604300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490486400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187099200.0,210644100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22358700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11,0.0,0.0,0.0,13500.0,0.0,0.0,0.0,137214000.0,755439300.0,1596093300.0,37800.0,3422700.0,44100.0,14009400.0,11700.0,45000.0,1499400.0,176872500.0,276753600.0,13500.0,0.0,326859300.0,0.0,136800.0,0.0,0.0,0.0,0.0,0.0,230536800.0,176617800.0,0.0,0.0,551700.0,51357600.0,0.0,164571300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3895200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12,0.0,0.0,0.0,678600.0,0.0,0.0,0.0,308413800.0,1492240500.0,3960144900.0,477000.0,9903600.0,47700.0,41328900.0,54000.0,3180600.0,4275000.0,510552000.0,292517100.0,212400.0,0.0,77480100.0,0.0,3433500.0,0.0,0.0,0.0,0.0,0.0,86268600.0,129407400.0,0.0,0.0,2099700.0,114440400.0,0.0,2402286300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8609400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13,0.0,0.0,0.0,26100.0,0.0,0.0,0.0,34377300.0,396860400.0,5007827700.0,67500.0,1323900.0,18000.0,8844300.0,25200.0,0.0,2981700.0,74766600.0,33226200.0,7200.0,0.0,2533500.0,0.0,510300.0,0.0,0.0,0.0,0.0,0.0,160200.0,4050000.0,0.0,0.0,0.0,2043900.0,0.0,5348642400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3951900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14,823050900.0,1800.0,3425400.0,7112700.0,52200.0,133423200.0,32205600.0,20602800.0,627652800.0,1065844800.0,45000.0,2241900.0,2298600.0,20433600.0,508500.0,37800.0,1925100.0,988374600.0,439607700.0,1800.0,17223300.0,148288500.0,751462200.0,5417100.0,99000.0,39600.0,4889700.0,5230800.0,137949300.0,219600.0,152536500.0,35509500.0,105171300.0,37800.0,85660200.0,12600.0,179007300.0,44674200.0,273600000.0,258088500.0,900.0,17100.0,9900.0,8279100.0,6416100.0,42794100.0,20297700.0,1815300.0,148500.0,52200.0,406800.0,3201300.0,77400.0,315710100.0,99612900.0,11722500.0,17361900.0,14919300.0,20871000.0,17190900.0,6300.0,135900.0,22500.0,302400.0,4259700.0,167400.0,270900.0,118800.0,958500.0,1676700.0,31500.0,385200.0,229500.0,1800.0
